Property_ID,City,Property_Type,Price_Lakhs,Area_sqft,Bedrooms,Bathrooms,Year_Built,Demand_Score,Sales_Status
P001,Chennai,Apartment,65,950,2,2,2018,78,Sold
P002,Bangalore,Villa,120,1800,3,3,2020,90,Sold
P003,Coimbatore,Apartment,55,850,2,2,2017,70,Available
P004,Hyderabad,Plot,45,1200,0,0,2022,82,Sold
P005,Salem,House,75,1400,3,2,2016,74,Available
P006,Chennai,Villa,150,2200,4,4,2021,95,Sold
P007,Madurai,Apartment,48,800,2,1,2015,66,Available
P008,Bangalore,House,98,1600,3,3,2019,85,Sold
P009,Erode,Plot,35,1000,0,0,2023,60,Available
P010,Hyderabad,Apartment,72,1100,2,2,2018,79,Sold
P011,Chennai,House,88,1450,3,2,2017,80,Sold
P012,Coimbatore,Villa,135,2100,4,4,2021,91,Sold
P013,Salem,Apartment,52,870,2,2,2016,68,Available
P014,Bangalore,Plot,62,1500,0,0,2022,84,Sold
P015,Madurai,House,70,1300,3,2,2019,76,Available
P016,Hyderabad,Villa,160,2400,4,4,2020,96,Sold
P017,Erode,Apartment,44,780,1,1,2014,58,Available
P018,Chennai,Plot,80,1700,0,0,2023,88,Sold
P019,Bangalore,Apartment,85,1250,3,2,2021,87,Sold
P020,Coimbatore,House,78,1420,3,2,2018,75,Available
P021,Salem,Plot,40,950,0,0,2022,62,Available
P022,Madurai,Villa,125,2000,4,3,2020,89,Sold
P023,Hyderabad,House,92,1550,3,3,2019,83,Sold
P024,Erode,Apartment,50,890,2,2,2017,67,Available
P025,Chennai,Villa,175,2600,5,4,2022,98,Sold
P026,Bangalore,Apartment,68,980,2,2,2018,77,Sold
P027,Coimbatore,Plot,38,900,0,0,2021,61,Available
P028,Salem,House,82,1500,3,2,2019,73,Sold
P029,Madurai,Apartment,54,860,2,2,2016,69,Available
P030,Hyderabad,Plot,58,1350,0,0,2023,81,Sold
P031,Erode,House,72,1280,3,2,2018,71,Available
P032,Chennai,Apartment,76,1150,2,2,2020,84,Sold
P033,Bangalore,Villa,145,2300,4,4,2021,93,Sold
P034,Coimbatore,House,80,1480,3,2,2017,74,Available
P035,Salem,Apartment,49,830,2,1,2015,64,Available
P036,Madurai,Plot,42,980,0,0,2022,59,Available
P037,Hyderabad,Apartment,74,1080,2,2,2019,80,Sold
P038,Erode,Villa,110,1900,4,3,2020,86,Sold
P039,Chennai,House,95,1650,3,3,2021,89,Sold
P040,Bangalore,Plot,66,1450,0,0,2023,85,Sold
P041,Coimbatore,Apartment,58,920,2,2,2018,72,Available
P042,Salem,Villa,130,2050,4,4,2021,90,Sold
P043,Madurai,House,77,1380,3,2,2019,75,Available
P044,Hyderabad,Plot,60,1400,0,0,2022,78,Sold
P045,Erode,Apartment,46,790,2,1,2016,63,Available
P046,Chennai,Villa,155,2350,4,4,2020,94,Sold
P047,Bangalore,House,102,1700,3,3,2021,88,Sold
P048,Coimbatore,Plot,41,970,0,0,2023,65,Available
P049,Salem,Apartment,53,880,2,2,2017,70,Available
P050,Madurai,Villa,118,1950,4,3,2020,87,Sold
